english,hungarian,exampleSentence,dateAdded
apple,alma,I eat an apple every day.,2026-04-18
banana,banán,She peels the banana before eating it.,2026-04-18
orange,narancs,The orange is sweet and juicy.,2026-04-18
strawberry,eper,We picked strawberries in the garden.,2026-04-18
grape,szőlő,He loves eating grapes in summer.,2026-04-18
watermelon,görögdinnye,The watermelon is cold and refreshing.,2026-04-18
cherry,cseresznye,The cherry tree is full of fruit.,2026-04-18
pear,körte,She cut the pear into slices.,2026-04-18
peach,őszibarack,The peach is soft and sweet.,2026-04-18
lemon,citrom,She squeezed a lemon into her drink.,2026-04-18
cat,macska,The cat is sleeping on the sofa.,2026-04-18
dog,kutya,My dog likes to run in the park.,2026-04-18
rabbit,nyúl,The rabbit hops around the garden.,2026-04-18
horse,ló,She rides her horse every morning.,2026-04-18
cow,tehén,The cow is eating grass in the field.,2026-04-18
pig,malac,The pig rolled in the mud.,2026-04-18
chicken,csirke,The chicken laid an egg today.,2026-04-18
duck,kacsa,The duck swims on the pond.,2026-04-18
fish,hal,He caught a big fish in the river.,2026-04-18
bird,madár,A bird is singing in the tree.,2026-04-18
red,piros,She wore a red dress to the party.,2026-04-18
blue,kék,The sky is blue today.,2026-04-18
green,zöld,The grass is green after the rain.,2026-04-18
yellow,sárga,The sunflower is bright yellow.,2026-04-18
white,fehér,He painted the wall white.,2026-04-18
black,fekete,The cat has black fur.,2026-04-18
orange (color),narancssárga,She painted her room orange.,2026-04-18
purple,lila,The flowers are purple.,2026-04-18
pink,rózsaszín,She bought a pink hat.,2026-04-18
brown,barna,The bear has brown fur.,2026-04-18
school,iskola,She walks to school every day.,2026-04-18
book,könyv,He is reading a book.,2026-04-18
pencil,ceruza,She drew a picture with a pencil.,2026-04-18
chair,szék,He sat on the chair.,2026-04-18
table,asztal,The food is on the table.,2026-04-18
window,ablak,She opened the window to let in air.,2026-04-18
door,ajtó,Please close the door behind you.,2026-04-18
house,ház,They live in a big house.,2026-04-18
garden,kert,We grow tomatoes in our garden.,2026-04-18
road,út,The road leads to the city.,2026-04-18
sun,nap,The sun is bright today.,2026-04-18
moon,hold,We can see the moon at night.,2026-04-18
star,csillag,There are many stars in the sky.,2026-04-18
rain,eső,It started to rain in the afternoon.,2026-04-18
snow,hó,The children played in the snow.,2026-04-18
cloud,felhő,A big cloud covered the sun.,2026-04-18
wind,szél,The wind blew the leaves away.,2026-04-18
flower,virág,She picked a flower from the garden.,2026-04-18
tree,fa,The tree is very tall.,2026-04-18
grass,fű,The grass is wet in the morning.,2026-04-18
bread,kenyér,She baked fresh bread this morning.,2026-04-18
milk,tej,He drinks a glass of milk every night.,2026-04-18
water,víz,Please drink plenty of water.,2026-04-18
egg,tojás,She boiled two eggs for breakfast.,2026-04-18
cheese,sajt,He put cheese on the sandwich.,2026-04-18
butter,vaj,She spread butter on the toast.,2026-04-18
soup,leves,Mom made chicken soup for dinner.,2026-04-18
cake,sütemény,We baked a cake for his birthday.,2026-04-18
cookie,keksz,She gave the children a cookie.,2026-04-18
juice,gyümölcslé,He drank a glass of orange juice.,2026-04-18
mother,anya,My mother makes the best cookies.,2026-04-18
father,apa,His father is a doctor.,2026-04-18
sister,nővér / húg,She plays with her sister every day.,2026-04-18
brother,báty / öcs,His brother is two years older.,2026-04-18
grandmother,nagymama,We visit our grandmother on Sundays.,2026-04-18
grandfather,nagypapa,Grandfather told us a funny story.,2026-04-18
friend,barát,She invited her friend to the party.,2026-04-18
baby,baba,The baby is sleeping in the crib.,2026-04-18
boy,fiú,The boy kicked the ball.,2026-04-18
girl,lány,The girl is drawing a picture.,2026-04-18
hand,kéz,She washed her hands before eating.,2026-04-18
foot,láb,He hurt his foot playing football.,2026-04-18
eye,szem,She has beautiful blue eyes.,2026-04-18
nose,orr,The clown had a big red nose.,2026-04-18
ear,fül,He whispered in her ear.,2026-04-18
mouth,száj,She opened her mouth to speak.,2026-04-18
hair,haj,She has long curly hair.,2026-04-18
head,fej,He nodded his head in agreement.,2026-04-18
Monday,hétfő,School starts again on Monday.,2026-04-18
Tuesday,kedd,We have swimming on Tuesday.,2026-04-18
Wednesday,szerda,She has piano lessons on Wednesday.,2026-04-18
Thursday,csütörtök,They go shopping on Thursday.,2026-04-18
Friday,péntek,Friday is everyone's favorite day.,2026-04-18
Saturday,szombat,We sleep in on Saturday.,2026-04-18
Sunday,vasárnap,The family eats together on Sunday.,2026-04-18
one,egy,She has one cat.,2026-04-18
two,kettő,He has two brothers.,2026-04-18
three,három,There are three apples on the table.,2026-04-18
four,négy,She drew four stars.,2026-04-18
five,öt,He scored five goals.,2026-04-18
ten,tíz,She counted to ten.,2026-04-18
big,nagy,The elephant is very big.,2026-04-18
small,kicsi,The mouse is very small.,2026-04-18
fast,gyors,The cheetah is very fast.,2026-04-18
slow,lassú,The turtle walks very slowly.,2026-04-18
happy,boldog,She was happy on her birthday.,2026-04-18
sad,szomorú,He was sad when his team lost.,2026-04-18
